TREENUM,SURVEYDATE,SPECIES_CODE,COMMONNAME,DBH1_in,TOTHT_ft,CROWNWIDTHNS_ft,CROWNWIDTHEW_ft,BOTANICAL,TreeStatus,CanopyRadius_ft
1437,2012-08-08,ULAL,Winged elm,20,58,71,60,Ulmus alata,Removed,36
1438,2012-08-08,COFL,Flowering dogwood,6.8,24,30,28,Cornus florida,Active,15
1439,2012-08-08,COFL,Flowering dogwood,6,27,29,26,Cornus florida,Active,14
1440,2012-08-08,QUNI,Water oak,32.6,58,64,73,Quercus nigra,Active,36
1441,2012-08-08,COFL,Flowering dogwood,6.6,27,33,28,Cornus florida,Active,16
1442,2012-08-08,COFL,Flowering dogwood,5.8,29,25,22,Cornus florida,Active,12
1443,2012-08-08,COFL,Flowering dogwood,3.3,9,17,27,Cornus florida,Active,14
1444,2012-08-08,QUFA,Southern red oak,12.5,54,42,46,Quercus falcata,Active,23
1445,2012-08-09,ULRU,Slippery elm,23.9,72,55,59,Ulmus rubra,Active,30
1446,2012-08-09,COFL,Flowering dogwood,3.6,21,23,22,Cornus florida,Active,12
1447,2012-08-09,COFL,Flowering dogwood,3.1,16,21,25,Cornus florida,Active,12
1448,2012-08-09,COFL,Flowering dogwood,4.1,23,24,25,Cornus florida,Active,12
1449,2012-08-09,COFL,Flowering dogwood,4.3,18,23,16,Cornus florida,Active,12
1450,2012-08-09,ULRU,Slippery elm,34.6,73,63,67,Ulmus rubra,Active,34
1451,2012-08-09,PSME,Douglas fir,13.8,42,25,24,Pseudotsuga menziesii,Active,12
1452,2012-08-09,COFL,Flowering dogwood,5.3,29,23,22,Cornus florida,Active,12
1453,2012-08-09,COFL,Flowering dogwood,4.7,26,23,20,Cornus florida,Active,12
1454,2012-08-09,COFL,Flowering dogwood,4.2,22,19,18,Cornus florida,Active,10
1455,2012-08-09,COFL,Flowering dogwood,4.3,25,25,24,Cornus florida,Active,12
1456,2012-08-09,LAIN,Common crapemyrtle,3.9,28,22,18,Lagerstroemia indica,Active,11
1457,2012-08-09,LAIN,Common crapemyrtle,4.2,29,22,27,Lagerstroemia indica,Active,14
1458,2012-08-09,COFL,Flowering dogwood,4.2,17,25,27,Cornus florida,Active,14
1459,2012-08-09,LAIN,Common crapemyrtle,3.4,29,16,18,Lagerstroemia indica,Active,9
1460,2012-08-09,MAGR,Southern magnolia,27.5,48,48,42,Magnolia grandiflora,Active,24
1461,2012-08-09,QURU,Northern red oak,4.3,27,17,24,Quercus rubra,Active,12
1462,2012-08-09,QURU,Northern red oak,14,62,37,38,Quercus rubra,Active,19
1463,2012-08-09,LAIN,Common crapemyrtle,4.2,30,21,24,Lagerstroemia indica,Active,12
1464,2012-08-09,LAIN,Common crapemyrtle,3.1,28,11,9,Lagerstroemia indica,Active,6
1465,2012-08-09,LAIN,Common crapemyrtle,4,29,18,16,Lagerstroemia indica,Active,9
1466,2012-08-09,LAIN,Common crapemyrtle,3.1,28,26,19,Lagerstroemia indica,Active,13
1467,2012-08-09,LAIN,Common crapemyrtle,2.2,24,19,24,Lagerstroemia indica,Active,12
1468,2012-08-09,COFL,Flowering dogwood,3,12,10,9,Cornus florida,Active,5
1469,2012-08-09,QURU,Northern red oak,7.2,52,20,21,Quercus rubra,Active,10
1470,2012-08-09,QUAL,White oak,42.9,88,96,78,Quercus alba,Active,48
1471,2012-08-09,COFL,Flowering dogwood,3.7,17,21,19,Cornus florida,Active,10
1472,2012-08-09,COFL,Flowering dogwood,4.2,18,22,25,Cornus florida,Active,12
1473,2012-08-09,COFL,Flowering dogwood,4.1,18,17,16,Cornus florida,Active,8
1474,2012-08-09,COFL,Flowering dogwood,6,26,28,25,Cornus florida,Active,14
1475,2012-08-09,QUNI,Water oak,34.3,78,71,72,Quercus nigra,Active,36
1476,2012-08-09,QUST,Post oak,22.5,86,79,63,Quercus stellata,Active,40
1477,2012-08-09,COFL,Flowering dogwood,6,28,26,24,Cornus florida,Active,13
1478,2012-08-09,COFL,Flowering dogwood,5.5,27,18,25,Cornus florida,Active,12
1479,2012-08-09,COFL,Flowering dogwood,8.5,29,20,25,Cornus florida,Active,12
1480,2012-08-09,COFL,Flowering dogwood,11.8,35,31,42,Cornus florida,Active,21
1481,2012-08-09,QUST,Post oak,22.3,73,63,47,Quercus stellata,Active,32
1482,2012-08-09,FAGR,American beech,32.4,62,79,65,Fagus grandifolia,Active,40
1483,2012-08-09,QUNI,Water oak,54.5,104,125,102,Quercus nigra,Active,62
1484,2012-08-09,QUNI,Water oak,51.5,92,85,79,Quercus nigra,Active,42
1485,2012-08-09,QUPA,Pin oak,14.7,56,39,36,Quercus palustris,Active,20
1486,2012-08-09,QUPA,Pin oak,14.7,56,40,40,Quercus palustris,Active,20
1487,2012-08-09,QUPA,Pin oak,15,56,41,38,Quercus palustris,Active,20
1488,2012-08-09,QUNI,Water oak,44.2,87,81,78,Quercus nigra,Active,40
1489,2012-08-09,PRSE2,Kwanzan cherry,3.5,13,12,13,Prunus serrulata,Active,6
1490,2012-08-09,PRSE2,Kwanzan cherry,3.7,14,12,13,Prunus serrulata,Removed,6
1491,2012-08-09,PRSE2,Kwanzan cherry,4.1,13,12,13,Prunus serrulata,Removed,6
1492,2012-08-09,PRSE2,Kwanzan cherry,3.5,14,13,13,Prunus serrulata,Active,6
1493,2012-08-09,PRSE2,Kwanzan cherry,3.6,13,14,13,Prunus serrulata,Active,7
1494,2012-08-09,PRSE2,Kwanzan cherry,4.2,13,15,13,Prunus serrulata,Active,8
1495,2012-08-09,QUCO,Scarlet oak,3.3,20,15,16,Quercus coccinea,Active,8
1496,2012-08-09,ACSA2,Sugar maple,17.2,39,44,48,Acer saccharum,Active,24
1497,2012-08-09,ILCR,Japanese holly,5.6,22,18,21,Ilex crenata,Active,10
1498,2012-08-09,COFL,Flowering dogwood,5.3,14,18,16,Cornus florida,Active,9
1499,2012-08-09,ILVO,Yaupon,2.5,17,16,15,Ilex vomitoria,Active,8
1500,2012-08-09,ILVO,Yaupon,2,13,9,11,Ilex vomitoria,Active,6
1501,2012-08-09,MASO,Saucer magnolia,5.6,29,29,28,Magnolia x soulangiana,Active,14
1502,2012-08-09,MASO,Saucer magnolia,13.1,28,25,24,Magnolia x soulangiana,Active,12
1503,2012-08-09,COFL,Flowering dogwood,4.7,22,24,20,Cornus florida,Active,12
1504,2012-08-09,MASO,Saucer magnolia,23,38,41,38,Magnolia x soulangiana,Active,20
1505,2012-08-09,GIBI,Ginkgo,7.1,36,22,29,Ginkgo biloba,Active,14
1506,2012-08-09,GIBI,Ginkgo,5,29,26,21,Ginkgo biloba,Active,13
1507,2012-08-09,MASO,Saucer magnolia,3.8,31,28,26,Magnolia x soulangiana,Active,14
1508,2012-08-09,ACPA,Japanese maple,4,10,14,17,Acer palmatum,Active,8
1509,2012-08-09,ACPA,Japanese maple,6,16,20,20,Acer palmatum,Active,10
1510,2012-08-09,ACPA,Japanese maple,7.4,15,27,26,Acer palmatum,Active,14
1511,2012-08-09,ULRU,Slippery elm,50.5,84,81,121,Ulmus rubra,Removed,60
1512,2012-08-09,QUFA,Southern red oak,46,88,82,110,Quercus falcata,Active,55
1513,2012-08-09,QUNI,Water oak,18,79,45,46,Quercus nigra,Removed,23
1514,2012-08-09,ILCO2,Chinese holly,4.5,21,19,22,Ilex cornuta,Removed,11
1515,2012-08-09,ILCO2,Chinese holly,4.6,23,12,18,Ilex cornuta,Removed,9
1516,2012-08-09,ILCO2,Chinese holly,3,22,12,22,Ilex cornuta,Removed,11
1517,2012-08-09,ILCO2,Chinese holly,4,21,12,25,Ilex cornuta,Removed,12
1518,2012-08-09,ILCO2,Chinese holly,4.3,22,12,26,Ilex cornuta,Active,13
1519,2012-08-09,ILCO2,Chinese holly,5.1,24,15,26,Ilex cornuta,Removed,13
1520,2012-08-09,QUNI,Water oak,14.7,38,48,42,Quercus nigra,Active,24
1521,2012-08-09,QUNI,Water oak,28.8,71,70,78,Quercus nigra,Removed,39
1522,2012-08-09,QUNI,Water oak,24,67,62,55,Quercus nigra,Removed,31
1523,2012-08-09,QUNI,Water oak,24.8,63,75,66,Quercus nigra,Active,38
1524,2012-08-09,QUNI,Water oak,16.2,51,42,37,Quercus nigra,Active,21
1525,2012-08-09,ILCO2,Chinese holly,3.7,17,12,15,Ilex cornuta,Removed,8
1526,2012-08-09,ILCO2,Chinese holly,5.2,15,10,22,Ilex cornuta,Removed,11
1527,2012-08-09,ILCO2,Chinese holly,3,16,9,16,Ilex cornuta,Removed,8
1528,2012-08-09,ILCO2,Chinese holly,5.1,17,12,16,Ilex cornuta,Removed,8
1529,2012-08-09,ILCO2,Chinese holly,9.5,28,19,21,Ilex cornuta,Removed,10
1530,2012-08-09,ILCO2,Chinese holly,7.6,19,16,18,Ilex cornuta,Removed,9
1531,2012-08-09,STAM4,American snowbell,7.7,33,24,28,Styrax americanus,Active,14
1532,2012-08-09,COFL,Flowering dogwood,6.2,21,24,18,Cornus florida,Removed,12
1533,2012-08-09,COFL,Flowering dogwood,3.1,10,15,12,Cornus florida,Active,8
1534,2012-08-09,QUNI,Water oak,31.9,69,66,62,Quercus nigra,Active,33
1535,2012-08-09,COFL,Flowering dogwood,10.5,18,25,28,Cornus florida,Removed,14
1536,2012-08-09,COFL,Flowering dogwood,7.5,20,18,19,Cornus florida,Active,10
1537,2012-08-09,COFL,Flowering dogwood,7.6,23,15,21,Cornus florida,Active,10
1538,2012-08-09,MAGR,Southern magnolia,15,40,26,27,Magnolia grandiflora,Active,14
1539,2012-08-09,MAGR,Southern magnolia,10.7,26,28,26,Magnolia grandiflora,Active,14
1540,2012-08-09,MAGR,Southern magnolia,11,38,21,25,Magnolia grandiflora,Active,12
1541,2012-08-09,MAGR,Southern magnolia,11,41,16,20,Magnolia grandiflora,Active,10
1542,2012-08-09,MAGR,Southern magnolia,9.8,42,18,20,Magnolia grandiflora,Active,10
1543,2012-08-09,MAGR,Southern magnolia,11,41,19,20,Magnolia grandiflora,Active,10
1544,2012-08-09,MAGR,Southern magnolia,10.2,41,18,19,Magnolia grandiflora,Active,10
1545,2012-08-09,MAGR,Southern magnolia,11.6,42,22,21,Magnolia grandiflora,Active,11
1546,2012-08-09,MAGR,Southern magnolia,10,33,18,26,Magnolia grandiflora,Active,13
1547,2012-08-09,MAGR,Southern magnolia,11,41,28,16,Magnolia grandiflora,Active,14
1548,2012-08-09,MAGR,Southern magnolia,10.9,38,24,16,Magnolia grandiflora,Active,12
1549,2012-08-09,MAGR,Southern magnolia,8.8,39,25,18,Magnolia grandiflora,Active,12
1550,2012-08-09,MAGR,Southern magnolia,9.3,40,28,19,Magnolia grandiflora,Active,14
1551,2012-08-09,MAGR,Southern magnolia,10.5,42,25,19,Magnolia grandiflora,Active,12
1552,2012-08-09,MAGR,Southern magnolia,14.5,41,22,29,Magnolia grandiflora,Active,14
1553,2012-08-09,ULPA,Chinese elm,7.8,30,32,29,Ulmus parvifolia,Active,16
1554,2012-08-09,ULPA,Chinese elm,8.1,31,33,31,Ulmus parvifolia,Active,16
1555,2012-08-09,GIBI,Ginkgo,8.7,48,36,32,Ginkgo biloba,Active,18
1556,2012-08-09,ACRU,Red maple,6.8,34,26,28,Acer rubrum,Active,14
1557,2012-08-09,PRSE2,Kwanzan cherry,12,29,34,36,Prunus serrulata,Active,18
1558,2012-08-09,ACPA,Japanese maple,7.2,19,20,17,Acer palmatum,Active,10
1559,2012-08-09,ACRU,Red maple,8.8,41,27,24,Acer rubrum,Active,14
1560,2012-08-09,ACPA,Japanese maple,5.8,14,13,14,Acer palmatum,Active,7
1561,2012-08-09,ACPA,Japanese maple,7.1,18,18,15,Acer palmatum,Active,9
1562,2012-08-09,MAGR,Southern magnolia,22.9,58,44,46,Magnolia grandiflora,Active,23
1563,2012-08-09,ACPA,Japanese maple,7.4,21,19,16,Acer palmatum,Active,10
1564,2012-08-09,ACPA,Japanese maple,8.2,22,18,19,Acer palmatum,Active,10
1565,2012-08-09,ACPA,Japanese maple,8.1,18,18,16,Acer palmatum,Active,9
1566,2012-08-09,ACPA,Japanese maple,5.2,16,9,10,Acer palmatum,Active,5
1567,2012-08-09,CECA,Eastern redbud,5.1,24,21,26,Cercis canadensis,Active,13
1568,2012-08-09,QUSH,Shumard oak,12.7,48,42,37,Quercus shumardii,Active,21
1569,2012-08-09,CECA,Eastern redbud,5.2,32,25,24,Cercis canadensis,Active,12
1570,2012-08-09,CECA,Eastern redbud,6.7,20,27,31,Cercis canadensis,Active,16
1571,2012-08-09,COFL,Flowering dogwood,2.6,18,16,12,Cornus florida,Active,8
1572,2012-08-09,ILAT,Topal holly,2.2,12,14,14,Ilex x attenuata,Active,7
1573,2012-08-09,ILAT,Topal holly,5.1,11,15,16,Ilex x attenuata,Active,8
1574,2012-08-09,CECA,Eastern redbud,2.2,16,12,11,Cercis canadensis,Active,6
1575,2012-08-09,ACPA,Japanese maple,4.1,10,15,13,Acer palmatum,Active,8
1576,2012-08-09,COFL,Flowering dogwood,4.3,16,19,17,Cornus florida,Active,10
1577,2012-08-09,ACPA,Japanese maple,6.1,10,14,17,Acer palmatum,Active,8
1578,2012-08-09,ACPA,Japanese maple,6.9,10,16,16,Acer palmatum,Active,8
1579,2012-08-09,ACPA,Japanese maple,5.7,15,15,15,Acer palmatum,Active,8
1580,2012-08-09,ACRU,Red maple,8,41,31,29,Acer rubrum,Active,16
1581,2012-08-09,ILAT,Topal holly,6.5,34,13,14,Ilex x attenuata,Active,7
1582,2012-08-09,ACPA,Japanese maple,16.5,32,20,27,Acer palmatum,Active,14
1583,2012-08-09,ACPA,Japanese maple,8.5,31,21,27,Acer palmatum,Active,14
1584,2012-08-09,COFL,Flowering dogwood,2,6,5,6,Cornus florida,Active,3
1585,2012-08-09,COFL,Flowering dogwood,7.5,21,24,21,Cornus florida,Active,12
1586,2012-08-09,ULAL,Winged elm,19.6,57,65,56,Ulmus alata,Active,32
1587,2012-08-09,COFL,Flowering dogwood,2.1,8,8,9,Cornus florida,Active,4
1588,2012-08-09,ULAL,Winged elm,21.6,53,51,44,Ulmus alata,Active,26
1589,2012-08-09,COFL,Flowering dogwood,4.9,13,22,24,Cornus florida,Active,12
1590,2012-08-09,COFL,Flowering dogwood,3.2,17,21,19,Cornus florida,Active,10
1591,2012-08-09,QUNI,Water oak,19.6,63,63,61,Quercus nigra,Active,32
1592,2012-08-09,QUNI,Water oak,21.9,63,58,52,Quercus nigra,Active,29
1593,2012-08-09,COFL,Flowering dogwood,6.8,22,24,27,Cornus florida,Active,14
1594,2012-08-09,COFL,Flowering dogwood,6.2,22,27,25,Cornus florida,Active,14
1595,2012-08-09,CECA,Eastern redbud,8,25,23,27,Cercis canadensis,Active,14
1596,2012-08-09,CECA,Eastern redbud,9.2,28,41,39,Cercis canadensis,Active,20
1597,2012-08-09,CECA,Eastern redbud,9,24,28,32,Cercis canadensis,Active,16
1598,2012-08-09,COFL,Flowering dogwood,1.4,8,8,6,Cornus florida,Active,4
1599,2012-08-09,COFL,Flowering dogwood,5.2,15,15,17,Cornus florida,Active,8
1600,2012-08-09,QUST,Post oak,21.3,73,53,51,Quercus stellata,Active,26
1601,2012-08-09,QUST,Post oak,29.4,66,68,49,Quercus stellata,Active,34
1602,2012-08-09,COFL,Flowering dogwood,12,23,34,29,Cornus florida,Active,17
1603,2012-08-09,ACRU,Red maple,10.5,36,30,32,Acer rubrum,Active,16
1604,2012-08-09,ILAT,Topal holly,3,27,16,15,Ilex x attenuata,Active,8
1605,2012-08-09,ILAT,Topal holly,6.8,26,16,16,Ilex x attenuata,Active,8
1606,2012-08-09,ILAT,Topal holly,5.3,27,16,16,Ilex x attenuata,Active,8
1607,2012-08-09,GIBI,Ginkgo,6,24,16,15,Ginkgo biloba,Active,8
1608,2012-08-09,ACRU,Red maple,9.2,46,30,30,Acer rubrum,Active,15
1609,2012-08-09,ACRU,Red maple,9.3,46,34,32,Acer rubrum,Active,17
1610,2012-08-09,ACRU,Red maple,8.3,45,32,34,Acer rubrum,Active,17
1611,2012-08-09,ACRU,Red maple,8,46,33,35,Acer rubrum,Active,18
1612,2012-08-09,GIBI,Ginkgo,21.6,63,37,41,Ginkgo biloba,Active,20
1613,2012-08-09,LAIN,Common crapemyrtle,4.5,25,25,22,Lagerstroemia indica,Active,12
1614,2012-08-09,LAIN,Common crapemyrtle,4.6,25,30,22,Lagerstroemia indica,Active,15
1615,2012-08-09,LAIN,Common crapemyrtle,4.5,25,32,23,Lagerstroemia indica,Active,16
1616,2012-08-09,LAIN,Common crapemyrtle,4.3,26,31,24,Lagerstroemia indica,Active,16
1617,2012-08-09,COFL,Flowering dogwood,3.1,16,16,14,Cornus florida,Active,8
1618,2012-08-09,COFL,Flowering dogwood,3.6,16,15,12,Cornus florida,Active,8
1619,2012-08-09,ACRU,Red maple,9.2,39,32,29,Acer rubrum,Active,16
1620,2012-08-09,QUST,Post oak,23.8,62,51,49,Quercus stellata,Active,26
1621,2012-08-09,QUPH,Willow oak,21.5,54,67,61,Quercus phellos,Active,34
1622,2012-08-09,LAIN,Common crapemyrtle,4.2,22,30,25,Lagerstroemia indica,Active,15
1623,2012-08-09,GIBI,Ginkgo,4.5,26,16,18,Ginkgo biloba,Active,9
1624,2012-08-09,ACSA2,Sugar maple,12.5,38,34,42,Acer saccharum,Active,21
1625,2012-08-09,COFL,Flowering dogwood,9.5,37,23,23,Cornus florida,Active,12
1626,2012-08-09,ACSA2,Sugar maple,15.5,52,34,54,Acer saccharum,Active,27
1627,2012-08-09,ACPA,Japanese maple,4.2,15,14,16,Acer palmatum,Active,8
1628,2012-08-09,THOC,Northern white cedar,2,7,5,5,Thuja occidentalis,Active,2
1629,2012-08-09,ACSA2,Sugar maple,14.3,42,35,37,Acer saccharum,Active,18
1630,2012-08-09,ACSA2,Sugar maple,7.4,25,13,15,Acer saccharum,Active,8
1631,2012-08-09,ACSA2,Sugar maple,6.3,31,20,23,Acer saccharum,Active,12
1632,2012-08-09,ACSA2,Sugar maple,6.5,23,23,22,Acer saccharum,Active,12
1633,2012-08-09,PYCA,Callery pear,19.5,38,48,53,Pyrus calleryana,Active,26
1634,2012-08-09,PYCA,Callery pear,8.5,31,22,29,Pyrus calleryana,Active,14
1635,2012-08-09,MAGR,Southern magnolia,27.5,52,48,51,Magnolia grandiflora,Active,26
1636,2012-08-09,LAIN,Common crapemyrtle,2.5,25,26,18,Lagerstroemia indica,Active,13
1637,2012-08-09,LAIN,Common crapemyrtle,1.8,15,13,15,Lagerstroemia indica,Active,8
1638,2012-08-09,LAIN,Common crapemyrtle,2.2,18,12,13,Lagerstroemia indica,Active,6
1639,2012-08-09,QUPH,Willow oak,10.4,42,38,36,Quercus phellos,Removed,19
1640,2012-08-09,QUPH,Willow oak,14.7,41,38,46,Quercus phellos,Removed,23
1641,2012-08-09,QUPH,Willow oak,9.2,42,27,32,Quercus phellos,Active,16
1642,2012-08-09,ULRU,Slippery elm,25.2,67,62,68,Ulmus rubra,Removed,34
1643,2012-08-09,ZESE,Japanese zelkova,8.8,31,36,30,Zelkova serrata,Removed,18
1644,2012-08-09,PRSE2,Kwanzan cherry,4.8,18,15,18,Prunus serrulata,Active,9
1645,2012-08-09,PRSE2,Kwanzan cherry,4.4,19,12,13,Prunus serrulata,Active,6
1646,2012-08-09,PRSE2,Kwanzan cherry,18.5,31,46,33,Prunus serrulata,Active,23
1647,2012-08-09,PRSE2,Kwanzan cherry,4.2,21,13,20,Prunus serrulata,Active,10
1648,2012-08-09,PRSE2,Kwanzan cherry,4.3,18,16,19,Prunus serrulata,Active,10
1649,2012-08-09,ACSA2,Sugar maple,12,44,44,36,Acer saccharum,Active,22
1650,2012-08-09,ACSA2,Sugar maple,11.4,47,49,46,Acer saccharum,Active,24
1651,2012-08-09,ACRU,Red maple,10.5,38,29,34,Acer rubrum,Active,17
1652,2012-08-09,ULPA,Chinese elm,2.9,22,13,16,Ulmus parvifolia,Active,8
1653,2012-08-09,ULAL,Winged elm,15.9,68,46,48,Ulmus alata,Active,24
1654,2012-08-09,MAGR,Southern magnolia,10.5,51,45,34,Magnolia grandiflora,Active,22
1655,2012-08-09,CECA,Eastern redbud,1.9,9,8,9,Cercis canadensis,Removed,4
1656,2012-08-09,CULE,Leyland cypress,12,47,19,12,Cupressocyparis leylandii,Removed,10
1657,2012-08-09,CULE,Leyland cypress,11.8,42,16,8,Cupressocyparis leylandii,Removed,8
1658,2012-08-09,ILCR,Japanese holly,3.6,24,22,21,Ilex crenata,Active,11
1659,2012-08-10,ACRU,Red maple,36.5,70,65,65,Acer rubrum,Active,32
1660,2012-08-10,PHFR,Fraser photinia,4.3,24,20,16,Photinia x fraseri,Active,10
1661,2012-08-10,PHFR,Fraser photinia,3.1,22,19,14,Photinia x fraseri,Active,10
1662,2012-08-10,PHFR,Fraser photinia,4.2,23,25,16,Photinia x fraseri,Active,12
1663,2012-08-10,COFL,Flowering dogwood,4.6,22,15,16,Cornus florida,Active,8
1664,2012-08-10,COFL,Flowering dogwood,8.6,28,18,20,Cornus florida,Active,10
1665,2012-08-10,COFL,Flowering dogwood,6.3,23,16,20,Cornus florida,Active,10
1666,2012-08-10,COFL,Flowering dogwood,6,13,13,17,Cornus florida,Active,8
1667,2012-08-10,COFL,Flowering dogwood,7.2,26,17,23,Cornus florida,Active,12
1668,2012-08-10,ACPA,Japanese maple,6.2,18,25,26,Acer palmatum,Active,13
1669,2012-08-10,ACPA,Japanese maple,4.9,9,7,9,Acer palmatum,Active,4
1670,2012-08-10,ACRU,Red maple,32,32,35,36,Acer rubrum,Active,18
1671,2012-08-10,ACRU,Red maple,8.1,36,27,25,Acer rubrum,Active,14
1672,2012-08-10,ACRU,Red maple,11.5,38,38,35,Acer rubrum,Active,19
1673,2012-08-10,ACRU,Red maple,8.9,31,19,32,Acer rubrum,Active,16
1674,2012-08-10,ACRU,Red maple,4.9,49,41,42,Acer rubrum,Active,21
1675,2012-08-10,QUPH,Willow oak,17.5,58,41,38,Quercus phellos,Active,20
1676,2012-08-10,ACBU,Trident maple,3.3,20,11,13,Acer buergerianum,Active,6
1677,2012-08-10,ACBU,Trident maple,5.2,23,11,14,Acer buergerianum,Active,7
1678,2012-08-10,TADI,Baldcypress,5.2,18,13,13,Taxodium distichum,Active,6
1679,2012-08-10,TADI,Baldcypress,4.4,16,14,13,Taxodium distichum,Active,7
1680,2012-08-10,TADI,Baldcypress,4.3,17,12,13,Taxodium distichum,Active,6
1681,2012-08-10,ULS,elm spp,4.3,23,8,8,Ulmus,Active,4
1682,2012-08-10,ULS,elm spp,3.8,23,7,6,Ulmus,Active,4
1683,2012-08-10,ULS,elm spp,4.3,24,7,7,Ulmus,Active,4
1684,2012-08-10,ULS,elm spp,4.2,23,7,7,Ulmus,Active,4
1685,2012-08-10,ULS,elm spp,3.8,23,7,6,Ulmus,Active,4
1686,2012-08-10,ULS,elm spp,4.1,23,7,6,Ulmus,Active,4
1687,2012-08-10,ULS,elm spp,4,21,7,6,Ulmus,Active,4
1688,2012-08-10,ULS,elm spp,4,21,7,7,Ulmus,Active,4
1689,2012-08-10,ULPA,Chinese elm,4.5,22,25,23,Ulmus parvifolia,Active,12
1690,2012-08-10,ULPA,Chinese elm,4.7,21,26,26,Ulmus parvifolia,Active,13
1691,2012-08-10,CRJA,Japanese red cedar,2.5,14,8,9,Cryptomeria japonica,Active,4
1692,2012-08-10,CRJA,Japanese red cedar,2,7,8,9,Cryptomeria japonica,Active,4
1693,2012-08-10,CRJA,Japanese red cedar,2,12,8,8,Cryptomeria japonica,Active,4
1694,2012-08-10,CRJA,Japanese red cedar,2.1,13,8,8,Cryptomeria japonica,Active,4
1695,2012-08-10,CRJA,Japanese red cedar,2.1,13,8,8,Cryptomeria japonica,Active,4
1696,2012-08-10,CRJA,Japanese red cedar,2.1,12,7,7,Cryptomeria japonica,Active,4
1697,2012-08-10,CRJA,Japanese red cedar,2,13,8,8,Cryptomeria japonica,Active,4
1698,2012-08-10,ULPA,Chinese elm,3.8,21,17,18,Ulmus parvifolia,Active,9
1699,2012-08-10,ULPA,Chinese elm,3.2,18,16,17,Ulmus parvifolia,Active,8
1700,2012-08-10,ULPA,Chinese elm,3.5,19,13,15,Ulmus parvifolia,Active,8
1701,2012-08-10,ULPA,Chinese elm,4,17,25,22,Ulmus parvifolia,Active,12
1702,2012-08-10,TADI,Baldcypress,4.5,16,11,10,Taxodium distichum,Active,6
1703,2012-08-10,TADI,Baldcypress,4.5,20,12,12,Taxodium distichum,Active,6
1704,2012-08-10,ULPA,Chinese elm,4,20,13,14,Ulmus parvifolia,Active,7
1705,2012-08-10,ULPA,Chinese elm,3.2,18,9,9,Ulmus parvifolia,Active,4
1706,2012-08-10,ULPA,Chinese elm,3.3,17,12,12,Ulmus parvifolia,Active,6
1707,2012-08-10,CRJA,Japanese red cedar,1.7,9,8,7,Cryptomeria japonica,Active,4
1708,2012-08-10,CRJA,Japanese red cedar,2.8,17,9,8,Cryptomeria japonica,Active,4
1709,2012-08-10,CRJA,Japanese red cedar,2.8,16,8,8,Cryptomeria japonica,Active,4
1710,2012-08-10,CRJA,Japanese red cedar,1.8,10,7,7,Cryptomeria japonica,Active,4
1711,2012-08-10,CRJA,Japanese red cedar,2.3,12,8,6,Cryptomeria japonica,Active,4
1712,2012-08-10,CRJA,Japanese red cedar,2.2,14,8,6,Cryptomeria japonica,Active,4
1713,2012-08-10,CRJA,Japanese red cedar,2.1,15,8,7,Cryptomeria japonica,Active,4
1714,2012-08-10,MAVI,Sweetbay,2,18,11,10,Magnolia virginiana,Active,6
1715,2012-08-10,MAVI,Sweetbay,2.2,15,12,11,Magnolia virginiana,Active,6
1716,2012-08-10,MAVI,Sweetbay,2.3,16,12,8,Magnolia virginiana,Active,6
1717,2012-08-10,NYSY,Black tupelo,3.5,14,12,13,Nyssa sylvatica,Active,6
1718,2012-08-10,NYSY,Black tupelo,2.7,12,6,6,Nyssa sylvatica,Active,3
1719,2012-08-10,NYSY,Black tupelo,2.8,15,7,7,Nyssa sylvatica,Active,4
1720,2012-08-10,NYSY,Black tupelo,2.7,15,7,6,Nyssa sylvatica,Active,4
1721,2012-08-10,ULPA,Chinese elm,4.1,21,15,13,Ulmus parvifolia,Active,8
1722,2012-08-10,ULPA,Chinese elm,3.8,23,17,16,Ulmus parvifolia,Active,8
1723,2012-08-10,ULPA,Chinese elm,4.4,21,26,19,Ulmus parvifolia,Active,13
1724,2012-08-10,ULPA,Chinese elm,4.7,21,24,25,Ulmus parvifolia,Active,12
1725,2012-08-10,TADI,Baldcypress,4.2,19,15,16,Taxodium distichum,Active,8
1726,2012-08-10,TADI,Baldcypress,4.5,19,12,13,Taxodium distichum,Active,6
1727,2012-08-10,MAVI,Sweetbay,2.9,14,9,10,Magnolia virginiana,Active,5
1728,2012-08-10,MAVI,Sweetbay,2.2,16,7,8,Magnolia virginiana,Active,4
1729,2012-08-10,MAVI,Sweetbay,2.2,16,10,11,Magnolia virginiana,Active,6
1730,2012-08-10,TADI,Baldcypress,4.1,19,13,12,Taxodium distichum,Active,6
1731,2012-08-10,TADI,Baldcypress,4.3,15,11,12,Taxodium distichum,Active,6
1732,2012-08-10,MAVI,Sweetbay,1.5,15,11,6,Magnolia virginiana,Active,6
1733,2012-08-10,MAVI,Sweetbay,3.7,15,10,10,Magnolia virginiana,Active,5
1734,2012-08-10,MAVI,Sweetbay,4.2,16,12,12,Magnolia virginiana,Active,6
1735,2012-08-10,ULPA,Chinese elm,4.6,21,25,24,Ulmus parvifolia,Active,12
1736,2012-08-10,ULPA,Chinese elm,3.6,17,17,12,Ulmus parvifolia,Active,8
1737,2012-08-10,NYSY,Black tupelo,2.3,12,6,7,Nyssa sylvatica,Active,4
